,LEA,SCHNAME,PTAC5EM_PTQ,PTEBACC_PTQ,PTAC5EMFSM_PTQ,PT24ENGPRG_PTQ,PT24MATHPRG_PTQ
2431,Nottinghamshire (891),Retford Oaks Academy,0.45,0.19,0.27,0.63,0.55
2432,Nottinghamshire (891),Rushcliffe School,0.82,0.46,0.58,0.88,0.88
2433,Nottinghamshire (891),Samworth Church Academy,0.51,0.05,0.31,0.77,0.64
2434,Nottinghamshire (891),Selston High School,0.53,0.15,0.56,0.7,0.68
2435,Nottinghamshire (891),Serlby Park Academy,0.52,0.24,0.36,0.78,0.46
2436,Nottinghamshire (891),Sherwood E-ACT Academy,0.4,0.12,0.33,0.57,0.62
2437,Nottinghamshire (891),South Nottinghamshire Academy,0.48,0.13,0.32,0.65,0.61
2438,Nottinghamshire (891),The South Wolds Academy & Sixth Form,0.67,0.34,0.4,0.75,0.82
2439,Nottinghamshire (891),Sutton Community Academy,0.46,0.22,0.24,0.84,0.49
2440,Nottinghamshire (891),Toot Hill School,0.83,0.46,0.67,0.86,0.82
2441,Nottinghamshire (891),Tuxford Academy,0.69,0.37,0.54,0.8,0.78
2442,Nottinghamshire (891),The West Bridgford School,0.83,0.45,0.67,0.89,0.87
2443,Nottingham (892),Big Wood School,0.38,0.11,0.34,0.52,0.53
2444,Nottingham (892),Bluecoat Academy,0.57,0.14,0.44,0.66,0.7
2445,Nottingham (892),The Bulwell Academy,0.29,0.02,0.25,0.6,0.36
2446,Nottingham (892),Djanogly City Academy,0.3,0.02,0.27,0.63,0.39
2447,Nottingham (892),Ellis Guilford School and Sports College,0.41,0.08,0.31,0.69,0.44
2448,Nottingham (892),Farnborough School Technology College,0.33,0.14,0.23,0.45,0.47
2449,Nottingham (892),Fernwood School,0.68,0.49,0.5,0.85,0.73
2450,Nottingham (892),Hadden Park High School,0.14,0.01,0.09,0.42,0.42
2451,Nottingham (892),Nottingham Academy,0.47,0.18,0.36,0.6,0.64
2452,Nottingham (892),The Nottingham Emmanuel School,0.56,0.19,0.4,0.78,0.58
2453,Nottingham (892),Nottingham Girls' Academy,0.45,0.16,0.34,0.59,0.71
2454,Nottingham (892),Nottingham University Samworth Academy,0.4,0.1,0.31,0.77,0.42
2455,Nottingham (892),Top Valley Academy,0.31,0.07,0.26,0.46,0.41
2456,Nottingham (892),The Trinity Catholic School,0.77,0.42,0.62,0.83,0.87
2457,Shropshire (893),Belvidere School,0.55,0.19,0.38,0.6,0.67
2458,Shropshire (893),Bridgnorth Endowed School,0.52,0.27,0.12,0.55,0.61
2459,Shropshire (893),Church Stretton School,0.55,0.26,0.47,0.72,0.69
2460,Shropshire (893),"The Community College, Bishop's Castle",0.4,0.33,0.27,0.64,0.53
2461,Shropshire (893),The Corbet School Technology College,0.61,0.26,0.54,0.74,0.78
2462,Shropshire (893),The Grange School,0.45,0.06,0.21,0.57,0.39
2463,Shropshire (893),The Grove School,0.5,0.24,0.29,0.68,0.65
2464,Shropshire (893),Idsall School,0.61,0.15,0.57,0.81,0.65
2465,Shropshire (893),The Lacon Childe School,0.55,0.31,0.37,0.9,0.61
2466,Shropshire (893),Lakelands Academy,0.59,0.27,0.37,0.67,0.72
2467,Shropshire (893),Ludlow Church of England School,0.51,0.18,0.37,0.64,0.67
2468,Shropshire (893),The Marches School,0.64,0.28,0.41,0.82,0.68
2469,Shropshire (893),Mary Webb School and Science College,0.6,0.25,0.5,0.63,0.77
2470,Shropshire (893),Meole Brace School Science College,0.62,0.22,0.37,0.71,0.64
2471,Shropshire (893),Oldbury Wells School,0.68,0.28,0.25,0.76,0.74
2472,Shropshire (893),"The Priory School, A Business and Enterprise College",0.79,0.23,0.44,0.8,0.76
2473,Shropshire (893),St Martins School (3-16 Learning Community),0.36,0.07,0.09,0.34,0.45
2474,Shropshire (893),Sir John Talbot's Technology College,0.45,0.09,0.25,0.57,0.59
2475,Shropshire (893),Sundorne School and Sports College,0.43,0.12,0.28,0.74,0.51
2476,Shropshire (893),"The Thomas Adams School, Wem",0.6,0.43,0.33,0.77,0.61
2477,Shropshire (893),William Brookes School,0.47,0.31,0.24,0.55,0.62
2478,Telford and Wrekin (894),Abraham Darby Academy,0.42,0.11,0.31,0.7,0.56
2479,Telford and Wrekin (894),Adams' Grammar School,0.98,0.65,,0.95,1.0
2480,Telford and Wrekin (894),Blessed Robert Johnson Catholic College,0.37,0.07,0.24,0.44,0.35
2481,Telford and Wrekin (894),The Burton Borough School,0.46,0.18,0.28,0.77,0.47
2482,Telford and Wrekin (894),Charlton School,0.56,0.3,0.27,0.6,0.6
2483,Telford and Wrekin (894),Ercall Wood Technology College,0.45,0.17,0.21,0.63,0.62
2484,Telford and Wrekin (894),Hadley Learning Community - Secondary Phase,0.47,0.09,0.33,0.75,0.69
2485,Telford and Wrekin (894),Lakeside Academy,0.26,0.08,0.2,0.37,0.31
2486,Telford and Wrekin (894),Madeley Academy,0.59,0.13,0.39,0.87,0.55
2487,Telford and Wrekin (894),Newport Girls' High School,1.0,0.91,,0.96,1.0
2488,Telford and Wrekin (894),Phoenix Academy,0.35,0.1,0.2,0.56,0.35
2489,Telford and Wrekin (894),Sutherland Business and Enterprise College,0.32,0.17,0.16,0.52,0.64
2490,Telford and Wrekin (894),Thomas Telford School,0.99,0.74,0.95,0.95,0.91
2491,Telford and Wrekin (894),Wrockwardine Wood Arts Academy,0.36,0.19,0.3,0.47,0.41
2492,Cheshire East (895),All Hallows Catholic College,0.59,0.35,0.27,0.78,0.65
2493,Cheshire East (895),Alsager School,0.7,0.36,0.52,0.85,0.75
2494,Cheshire East (895),Brine Leas School,0.71,0.4,0.55,0.82,0.75
2495,Cheshire East (895),Congleton High School,0.58,0.24,0.26,0.72,0.54
2496,Cheshire East (895),Eaton Bank Academy,0.66,0.2,0.22,0.68,0.66
2497,Cheshire East (895),The Fallibroome Academy,0.82,0.39,0.69,0.89,0.83
2498,Cheshire East (895),Holmes Chapel Comprehensive School,0.66,0.24,0.69,0.83,0.74
2499,Cheshire East (895),Kings Grove School,0.38,0.1,0.18,0.54,0.44
2500,Cheshire East (895),Knutsford Academy,0.58,0.35,0.34,0.76,0.64
2501,Cheshire East (895),The Macclesfield Academy,0.42,0.21,0.25,0.66,0.46
2502,Cheshire East (895),Malbank School and Sixth Form College,0.56,0.17,0.32,0.66,0.62
2503,Cheshire East (895),Middlewich High School,0.48,0.12,0.25,0.74,0.61
2504,Cheshire East (895),Poynton High School,0.73,0.42,0.53,0.77,0.75
2505,Cheshire East (895),Ruskin Sports College - A Community High School,0.49,0.21,0.38,0.45,0.6
2506,Cheshire East (895),"St Thomas More Catholic High School, A Specialist School for Maths & ICT",0.64,0.23,0.47,0.81,0.72
2507,Cheshire East (895),Sandbach High School and Sixth Form College,0.8,0.38,0.48,0.93,0.81
2508,Cheshire East (895),Sandbach School,0.65,0.16,0.4,0.69,0.73
2509,Cheshire East (895),Shavington High School,0.58,0.14,0.23,0.8,0.58
2510,Cheshire East (895),Sir William Stanier Community School,0.46,0.09,0.27,0.7,0.54
2511,Cheshire East (895),Tytherington High School,0.58,0.46,0.1,0.6,0.65
2512,Cheshire East (895),Wilmslow High School,0.6,0.32,0.3,0.67,0.67
2513,Cheshire West and Chester (896),Bishop Heber High School,0.71,0.4,0.48,0.83,0.78
2514,Cheshire West and Chester (896),The Bishops' Blue Coat Church of England High School,0.68,0.25,0.47,0.68,0.76
2515,Cheshire West and Chester (896),"Blacon High School, A Specialist Sports College",0.46,0.08,0.45,0.72,0.6
2516,Cheshire West and Chester (896),"The Catholic High School, Chester A Specialist Science College",0.53,0.25,0.24,0.79,0.6
2517,Cheshire West and Chester (896),Christleton High School,0.73,0.39,0.42,0.76,0.81
2518,Cheshire West and Chester (896),The County High School Leftwich,0.66,0.28,0.35,0.84,0.72
2519,Cheshire West and Chester (896),Ellesmere Port Catholic High School,0.56,0.35,0.35,0.76,0.52
2520,Cheshire West and Chester (896),Hartford Church of England High School,0.65,0.44,0.34,0.72,0.69
2521,Cheshire West and Chester (896),Helsby High School,0.71,0.39,0.62,0.75,0.74
2522,Cheshire West and Chester (896),Neston High School,0.56,0.24,0.27,0.79,0.68
2523,Cheshire West and Chester (896),Queen's Park High School,0.52,0.26,0.35,0.64,0.56
2524,Cheshire West and Chester (896),St Nicholas Catholic High School,0.79,0.24,0.6,0.9,0.85
2525,Cheshire West and Chester (896),Tarporley High School and Sixth Form College,0.78,0.41,0.56,0.86,0.81
2526,Cheshire West and Chester (896),University of Chester Academy Northwich,0.41,0.06,0.19,0.53,0.59
2527,Cheshire West and Chester (896),University of Chester CE Academy,0.41,0.04,0.38,0.65,0.47
2528,Cheshire West and Chester (896),Upton-by-Chester High School,0.56,0.36,0.19,0.61,0.68
2529,Cheshire West and Chester (896),Weaverham High School,0.62,0.3,0.33,0.76,0.64
2530,Cheshire West and Chester (896),The Whitby High School,0.42,0.22,0.22,0.54,0.5
2531,Cheshire West and Chester (896),The Winsford Academy,0.42,0.07,0.34,0.69,0.5
2532,Cornwall (908),Bodmin College,0.44,0.06,0.4,0.56,0.54
2533,Cornwall (908),Brannel School,0.43,0.09,0.26,0.58,0.62
2534,Cornwall (908),Budehaven Community School,0.47,0.19,0.22,0.64,0.56
2535,Cornwall (908),Callington Community College,0.59,0.2,0.4,0.72,0.75
2536,Cornwall (908),Camborne Science and International Academy,0.71,0.34,0.49,0.94,0.76
2537,Cornwall (908),Cape Cornwall School,0.43,0.12,0.29,0.64,0.65
2538,Cornwall (908),Falmouth School,0.58,0.25,0.33,0.69,0.73
2539,Cornwall (908),Fowey Community College,0.47,0.23,0.41,0.6,0.55
2540,Cornwall (908),Hayle Community School,0.52,0.21,0.24,0.95,0.51
2541,Cornwall (908),Helston Community College,0.6,0.22,0.24,0.68,0.68
2542,Cornwall (908),Humphry Davy School,0.56,0.2,0.38,0.78,0.75
2543,Cornwall (908),Launceston College,0.55,0.34,0.35,0.65,0.67
2544,Cornwall (908),Liskeard School and Community College,0.5,0.13,0.33,0.7,0.62
2545,Cornwall (908),Looe Community Academy,0.57,0.25,0.28,0.66,0.71
2546,Cornwall (908),Mounts Bay Academy,0.58,0.19,0.46,0.9,0.63
2547,Cornwall (908),Mullion School,0.56,0.22,0.44,0.63,0.83
2548,Cornwall (908),Newquay Tretherras,0.57,0.32,0.45,0.65,0.74
2549,Cornwall (908),Penair School,0.61,0.22,0.37,0.61,0.75
2550,Cornwall (908),Penrice Academy,0.56,0.26,0.34,0.76,0.71
2551,Cornwall (908),Penryn College,0.59,0.15,0.37,0.64,0.67
2552,Cornwall (908),Poltair School,0.51,0.08,0.45,0.74,0.63
2553,Cornwall (908),Pool Academy,0.56,0.25,0.3,0.94,0.61
2554,Cornwall (908),Redruth School,0.57,0.18,0.44,0.75,0.67
2555,Cornwall (908),Richard Lander School,0.64,0.4,0.36,0.7,0.71
2556,Cornwall (908),The Roseland Community College,0.61,0.31,0.47,0.65,0.72
2557,Cornwall (908),"St Ives School, A Technology College",0.54,0.22,0.18,0.57,0.66
2558,Cornwall (908),St Michael's Catholic Secondary School,0.21,0.14,,0.25,0.67
2559,Cornwall (908),Saltash.net community school,0.53,0.11,0.21,0.79,0.5
2560,Cornwall (908),Sir James Smith's Community School,0.46,0.24,0.26,0.65,0.48
2561,Cornwall (908),Torpoint Community College,0.54,0.15,0.48,0.68,0.61
2562,Cornwall (908),Treviglas Community College,0.6,0.11,0.41,0.8,0.67
2563,Cornwall (908),Wadebridge School,0.62,0.26,0.41,0.89,0.66
2564,Cumbria (909),Appleby Grammar School,0.57,0.36,0.33,0.75,0.65
2565,Cumbria (909),Beacon Hill Community School,0.41,0.06,0.36,0.45,0.67
2566,Cumbria (909),Caldew School,0.58,0.3,0.29,0.67,0.62
2567,Cumbria (909),Cartmel Priory CofE School,0.58,0.21,0.42,0.72,0.7
2568,Cumbria (909),Cockermouth School,0.63,0.42,0.33,0.68,0.77
2569,Cumbria (909),Dallam School,0.73,0.37,0.71,0.89,0.73
2570,Cumbria (909),Dowdales School,0.57,0.16,0.33,0.75,0.62
2571,Cumbria (909),Furness Academy,0.44,0.01,0.23,0.53,0.53
2572,Cumbria (909),John Ruskin School,0.56,0.09,0.5,0.74,0.66
2573,Cumbria (909),Keswick School,0.75,0.34,0.5,0.8,0.85
2574,Cumbria (909),Kirkbie Kendal School,0.61,0.26,0.18,0.73,0.72
2575,Cumbria (909),Kirkby Stephen Grammar School,0.41,0.12,0.43,0.4,0.71
2576,Cumbria (909),The Lakes School,0.45,0.1,0.1,0.48,0.64
2577,Cumbria (909),Millom School,0.59,0.23,0.38,0.76,0.65
2578,Cumbria (909),The Nelson Thomlinson School,0.67,0.41,0.53,0.73,0.82
2579,Cumbria (909),Netherhall School,0.59,0.22,0.43,0.7,0.7
2580,Cumbria (909),Newman Catholic School,0.33,0.17,0.14,0.64,0.37
2581,Cumbria (909),Queen Elizabeth Grammar School,0.88,0.72,1.0,0.75,0.84
2582,Cumbria (909),Queen Elizabeth School,0.79,0.36,0.78,0.81,0.84
2583,Cumbria (909),The Queen Katherine School,0.61,0.22,0.42,0.71,0.57
2584,Cumbria (909),Richard Rose Central Academy,0.34,0.08,0.22,0.6,0.43
2585,Cumbria (909),Richard Rose Morton Academy,0.37,0.01,0.22,0.55,0.37
2586,Cumbria (909),St Benedict's Catholic High School,0.57,0.12,0.38,0.6,0.69
2587,Cumbria (909),St Bernard's Catholic High School,0.61,0.16,0.47,0.62,0.69
2588,Cumbria (909),"St Joseph's Catholic High School, Business and Enterprise College",0.57,0.08,0.29,0.62,0.64
2589,Cumbria (909),Samuel King's School,0.26,0.1,0.17,0.29,0.47
2590,Cumbria (909),Settlebeck High School,0.69,0.21,,0.86,0.95
2591,Cumbria (909),Solway Community Technology College,0.41,0.05,0.23,0.66,0.66
2592,Cumbria (909),Southfield Technology College,0.4,0.11,0.18,0.52,0.62
2593,Cumbria (909),Stainburn School and Science College,0.58,0.24,0.41,0.62,0.68
2594,Cumbria (909),Trinity School,0.51,0.28,0.31,0.64,0.52
2595,Cumbria (909),Ullswater Community College,0.62,0.19,0.37,0.71,0.75
2596,Cumbria (909),Ulverston Victoria High School,0.62,0.26,0.37,0.79,0.71
2597,Cumbria (909),Walney School,0.45,0.15,0.31,0.61,0.47
2598,Cumbria (909),West Lakes Academy,0.62,0.23,0.43,0.84,0.61
2599,Cumbria (909),The Whitehaven Academy,,,,,
2600,Cumbria (909),William Howard School,0.62,0.27,0.27,0.75,0.66
2601,Gloucestershire (916),"All Saints' Academy, Cheltenham",0.39,0.08,0.32,0.78,0.41
2602,Gloucestershire (916),Archway School,0.53,0.13,0.29,0.63,0.58
2603,Gloucestershire (916),Balcarras School,0.79,0.57,0.67,0.86,0.86
2604,Gloucestershire (916),Barnwood Park Arts College,0.46,0.14,0.24,0.63,0.57
2605,Gloucestershire (916),Beaufort Co-operative Academy,,,,,
2606,Gloucestershire (916),Cheltenham Bournside School and Sixth Form Centre,0.52,0.1,0.31,0.61,0.53
2607,Gloucestershire (916),Chipping Campden School,0.65,0.32,0.41,0.69,0.72
2608,Gloucestershire (916),Chosen Hill School,0.65,0.3,0.34,0.78,0.78
2609,Gloucestershire (916),Churchdown School,0.54,0.06,0.42,0.71,0.62
2610,Gloucestershire (916),Cirencester Deer Park School,0.68,0.36,0.38,0.77,0.74
2611,Gloucestershire (916),Cirencester Kingshill School,0.64,0.27,0.47,0.7,0.81
2612,Gloucestershire (916),Cleeve School,0.69,0.31,0.29,0.73,0.8
2613,Gloucestershire (916),The Cotswold Academy,0.72,0.41,0.65,0.8,0.84
2614,Gloucestershire (916),The Crypt School,0.98,0.62,1.0,0.96,0.98
2615,Gloucestershire (916),The Dean Academy,0.46,0.06,0.18,0.72,0.52
2616,Gloucestershire (916),Dene Magna School,0.56,0.12,0.25,0.71,0.74
2617,Gloucestershire (916),Farmor's School,0.66,0.31,0.27,0.75,0.75
2618,Gloucestershire (916),Forest E-ACT Academy,0.36,0.11,0.14,0.62,0.49
2619,Gloucestershire (916),Gloucester Academy,0.37,0.04,0.22,0.65,0.45
2620,Gloucestershire (916),High School for Girls,0.99,0.92,,1.0,1.0
2621,Gloucestershire (916),Katharine Lady Berkeley's School,0.68,0.45,0.44,0.74,0.76
2622,Gloucestershire (916),Lakers School,0.41,0.08,0.35,0.55,0.59
2623,Gloucestershire (916),Maidenhill School,0.4,0.04,0.25,0.68,0.58
2624,Gloucestershire (916),Marling School,0.97,0.54,,0.98,0.94
2625,Gloucestershire (916),Millbrook Academy,0.24,0.06,0.16,0.61,0.32
2626,Gloucestershire (916),Newent Community School and Sixth Form Centre,0.56,0.17,0.25,0.68,0.64
2627,Gloucestershire (916),Pate's Grammar School,1.0,0.93,,1.0,1.0
2628,Gloucestershire (916),Pittville School,0.36,0.1,0.31,0.59,0.66
2629,Gloucestershire (916),Rednock School,0.56,0.23,0.26,0.63,0.66
2630,Gloucestershire (916),Ribston Hall High School,0.96,0.7,0.83,0.93,0.89
2631,Gloucestershire (916),St Peter's Catholic High School and Sixth Form Centre,0.65,0.29,0.4,0.77,0.77
2632,Gloucestershire (916),Severn Vale School,0.57,0.12,0.41,0.82,0.6
2633,Gloucestershire (916),Sir Thomas Rich's School,1.0,0.82,,1.0,0.97
2634,Gloucestershire (916),Sir William Romney's School,0.39,0.12,0.09,0.62,0.6
2635,Gloucestershire (916),Stroud High School,0.98,0.72,,0.98,0.97
2636,Gloucestershire (916),Tewkesbury School,0.5,0.16,0.25,0.67,0.58
2637,Gloucestershire (916),Thomas Keble School,0.65,0.24,0.44,0.74,0.78
2638,Gloucestershire (916),Winchcombe School,0.59,0.26,0.58,0.8,0.64
2639,Gloucestershire (916),Wyedean School and 6th Form Centre,0.59,0.17,0.23,0.86,0.63
2640,Hertfordshire (919),Adeyfield School,0.42,0.08,0.28,0.63,0.54
2641,Hertfordshire (919),Ashlyns School,0.67,0.4,0.36,0.83,0.76
2642,Hertfordshire (919),The Astley Cooper School,0.32,0.12,0.21,0.43,0.51
2643,Hertfordshire (919),Barclay School,0.43,0.14,0.28,0.46,0.61
2644,Hertfordshire (919),Barnwell School,0.42,0.09,0.26,0.62,0.59
2645,Hertfordshire (919),Beaumont School,0.82,0.55,0.64,0.84,0.89
2646,Hertfordshire (919),Birchwood High School,0.67,0.18,0.45,0.74,0.82
2647,Hertfordshire (919),Bishop's Hatfield Girls' School,0.73,0.48,0.4,0.84,0.86
2648,Hertfordshire (919),The Bishop's Stortford High School,0.73,0.48,0.38,0.74,0.8
2649,Hertfordshire (919),The Broxbourne School,0.68,0.47,0.5,0.77,0.65
2650,Hertfordshire (919),The Bushey Academy,0.56,0.13,0.48,0.86,0.76
2651,Hertfordshire (919),Bushey Meads School,0.66,0.38,0.42,0.67,0.73
2652,Hertfordshire (919),The Cavendish School,0.43,0.09,0.32,0.59,0.66
2653,Hertfordshire (919),Chancellor's School,0.63,0.33,0.33,0.74,0.67
2654,Hertfordshire (919),The Chauncy School,0.63,0.25,0.5,0.83,0.71
2655,Hertfordshire (919),Cheshunt School,0.42,0.12,0.39,0.68,0.51
2656,Hertfordshire (919),The Da Vinci Studio School of Creative Enterprise,,,,,
2657,Hertfordshire (919),The Da Vinci Studio School of Science and Engineering,0.21,0.0,0.17,0.44,0.51
2658,Hertfordshire (919),Dame Alice Owen's School,0.96,0.72,,0.94,1.0
2659,Hertfordshire (919),The Elstree UTC,,,,,
2660,Hertfordshire (919),Fearnhill School,0.52,0.16,0.26,0.73,0.55
2661,Hertfordshire (919),Francis Combe Academy,0.52,0.12,0.22,0.68,0.67
2662,Hertfordshire (919),Freman College,0.73,0.39,0.72,0.81,0.83
2663,Hertfordshire (919),Goffs School,0.75,0.39,0.68,0.75,0.8
2664,Hertfordshire (919),The Hemel Hempstead School,0.63,0.38,0.44,0.7,0.76
2665,Hertfordshire (919),The Hertfordshire & Essex High School and Science College,0.94,0.69,1.0,0.94,0.96
2666,Hertfordshire (919),Hertswood Academy,0.52,0.13,0.43,0.69,0.59
2667,Hertfordshire (919),The Highfield School,0.63,0.25,0.4,0.91,0.67
2668,Hertfordshire (919),Hitchin Boys' School,0.83,0.62,,0.85,0.81
2669,Hertfordshire (919),Hitchin Girls' School,0.76,0.47,0.42,0.89,0.74
2670,Hertfordshire (919),Hockerill Anglo-European College,0.91,0.7,,0.92,0.95
2671,Hertfordshire (919),John F Kennedy Catholic School,0.62,0.31,0.46,0.65,0.74
2672,Hertfordshire (919),The John Henry Newman Catholic School,0.8,0.49,0.48,0.81,0.8
2673,Hertfordshire (919),The John Warner School,0.68,0.28,0.36,0.84,0.75
2674,Hertfordshire (919),Kings Langley School,0.65,0.21,0.5,0.85,0.68
2675,Hertfordshire (919),The Knights Templar School,0.69,0.42,0.5,0.73,0.85
2676,Hertfordshire (919),Leventhorpe,0.74,0.25,0.53,0.85,0.68
2677,Hertfordshire (919),Longdean School,0.53,0.21,0.32,0.63,0.66
2678,Hertfordshire (919),Loreto College,0.81,0.57,0.63,0.89,0.83
2679,Hertfordshire (919),Marlborough School,0.5,0.32,0.28,0.63,0.54
2680,Hertfordshire (919),Marriotts School,0.42,0.19,0.33,0.72,0.51
2681,Hertfordshire (919),Meridian School,0.63,0.27,0.3,0.77,0.71
2682,Hertfordshire (919),Monk's Walk School,0.68,0.24,0.34,0.79,0.78
2683,Hertfordshire (919),Mount Grace School,0.46,0.15,0.34,0.61,0.73
2684,Hertfordshire (919),Nicholas Breakspear Catholic School,0.56,0.24,0.52,0.7,0.67
2685,Hertfordshire (919),The Nobel School,0.6,0.16,0.43,0.78,0.64
2686,Hertfordshire (919),Onslow St Audrey's School,0.49,0.06,0.39,0.78,0.61
2687,Hertfordshire (919),Parmiter's School,0.9,0.62,0.83,0.91,0.96
2688,Hertfordshire (919),Presdales School,0.88,0.54,0.64,0.89,0.93
2689,Hertfordshire (919),The Priory School,0.74,0.32,0.5,0.89,0.86
2690,Hertfordshire (919),Queens' School,0.72,0.4,0.45,0.73,0.8
2691,Hertfordshire (919),The Reach Free School,,,,,
2692,Hertfordshire (919),Richard Hale School,0.84,0.39,0.64,0.84,0.88
2693,Hertfordshire (919),Rickmansworth School,0.84,0.41,0.5,0.85,0.87
2694,Hertfordshire (919),Roundwood Park School,0.84,0.59,0.68,0.92,0.84
2695,Hertfordshire (919),St Albans Girls' School,0.83,0.69,0.68,0.87,0.88
2696,Hertfordshire (919),St Clement Danes School,0.88,0.44,0.56,0.92,0.92
2697,Hertfordshire (919),St George's School,0.89,0.52,0.86,0.88,0.98
2698,Hertfordshire (919),Saint Joan of Arc Catholic School,0.73,0.32,0.48,0.77,0.82
2699,Hertfordshire (919),Saint Mary's Catholic School,0.78,0.52,0.8,0.86,0.85
2700,Hertfordshire (919),St Mary's Church of England High School (VA),0.62,0.18,0.47,0.85,0.66
2701,Hertfordshire (919),Saint Michael's Catholic High School,0.72,0.32,0.48,0.84,0.77
2702,Hertfordshire (919),Samuel Ryder Academy,0.6,0.24,0.69,0.83,0.69
2703,Hertfordshire (919),Sandringham School,0.86,0.55,0.56,0.89,0.92
2704,Hertfordshire (919),The Sele School,0.56,0.1,0.32,0.79,0.55
2705,Hertfordshire (919),Sheredes School,0.41,0.15,0.16,0.55,0.61
2706,Hertfordshire (919),Sir Frederic Osborn School,0.4,0.16,0.21,0.62,0.52
2707,Hertfordshire (919),Sir John Lawes School,0.77,0.47,0.43,0.87,0.83
2708,Hertfordshire (919),Stanborough School,0.59,0.27,0.33,0.75,0.66
2709,Hertfordshire (919),The Thomas Alleyne School,0.51,0.18,0.3,0.7,0.68
2710,Hertfordshire (919),Townsend CofE School,0.66,0.41,0.27,0.76,0.71
2711,Hertfordshire (919),Tring School,0.76,0.27,0.59,0.83,0.81
2712,Hertfordshire (919),Turnford School,0.53,0.3,0.29,0.74,0.72
2713,Hertfordshire (919),Verulam School,0.71,0.46,0.5,0.85,0.85
2714,Hertfordshire (919),Watford Grammar School for Boys,0.86,0.76,0.69,0.87,0.96
2715,Hertfordshire (919),Watford Grammar School for Girls,0.9,0.0,0.78,0.93,0.89
2716,Hertfordshire (919),Westfield Academy,0.54,0.11,0.48,0.74,0.75
2717,Hertfordshire (919),Yavneh College,0.82,0.0,0.55,0.89,0.87
2718,Isle of Wight (921),Carisbrooke College,0.29,0.07,0.25,0.38,0.54
2719,Isle of Wight (921),Christ The King College,0.55,0.2,0.43,0.75,0.8
2720,Isle of Wight (921),Cowes Enterprise College,0.58,0.11,0.39,0.83,0.61
2721,Isle of Wight (921),Medina College,0.48,0.13,0.3,0.71,0.5
2722,Isle of Wight (921),Ryde Academy,0.47,0.15,0.27,0.63,0.62
2723,Isle of Wight (921),Sandown Bay Academy,0.42,0.17,0.25,0.73,0.5
2724,Lincolnshire (925),"The Banovallum School, Horncastle",0.51,0.19,0.37,0.58,0.61
2725,Lincolnshire (925),Birkbeck School and Community Arts College,0.4,0.0,0.26,0.78,0.52
2726,Lincolnshire (925),The Boston Grammar School,0.78,0.56,,0.75,0.58
2727,Lincolnshire (925),Boston High School,0.95,0.46,1.0,0.86,0.84
2728,Lincolnshire (925),Bourne Academy,0.5,0.09,0.3,0.64,0.66
2729,Lincolnshire (925),Bourne Grammar School,0.0,0.0,0.0,0.01,0.96
2730,Lincolnshire (925),Branston Community Academy,0.59,0.32,0.42,0.79,0.72
2731,Lincolnshire (925),Caistor Grammar School,0.99,0.85,,0.93,0.94
2732,Lincolnshire (925),Caistor Yarborough Academy,0.51,0.11,0.29,0.75,0.48
2733,Lincolnshire (925),Carre's Grammar School,0.96,0.76,,0.92,0.79
2734,Lincolnshire (925),Charles Read Academy,0.44,0.04,0.33,0.8,0.62
2735,Lincolnshire (925),Cherry Willingham Community School,0.38,0.16,0.27,0.67,0.53
2736,Lincolnshire (925),Cordeaux Academy,0.49,0.12,0.23,0.77,0.56
2737,Lincolnshire (925),De Aston School,0.58,0.4,0.44,0.75,0.7
2738,Lincolnshire (925),The Deepings School,0.6,0.22,0.32,0.73,0.6
2739,Lincolnshire (925),The Gainsborough Academy,0.39,0.06,0.24,0.49,0.53
2740,Lincolnshire (925),The Gartree Community School,0.34,0.06,0.19,0.52,0.55
2741,Lincolnshire (925),The Giles Academy,0.41,0.13,0.32,0.72,0.49
2742,Lincolnshire (925),Haven High Academy,0.24,0.01,0.19,0.37,0.67
2743,Lincolnshire (925),John Spendluffe Foundation Technology College,0.59,0.23,0.4,0.69,0.66
2744,Lincolnshire (925),Kesteven and Grantham Girls' School,0.91,0.67,0.91,0.93,0.89
2745,Lincolnshire (925),Kesteven and Sleaford High School Selective Academy,0.96,0.8,1.0,0.95,0.89
2746,Lincolnshire (925),King Edward VI Academy,0.25,0.08,0.09,0.78,0.47
2747,Lincolnshire (925),"The King Edward VI Grammar School, Louth",0.94,0.83,,0.84,0.99
2748,Lincolnshire (925),"The King's School, Grantham",0.98,0.6,1.0,0.95,0.94
2749,Lincolnshire (925),Lincoln Castle Academy,0.41,0.19,0.23,0.75,0.59
2750,Lincolnshire (925),Lincoln Christ's Hospital School,0.42,0.25,0.19,0.6,0.44
2751,Lincolnshire (925),Middlecott School,0.26,0.03,0.23,0.52,0.42
2752,Lincolnshire (925),Monks' Dyke Tennyson College,0.26,0.06,0.13,0.47,0.44
2753,Lincolnshire (925),North Kesteven School,0.65,0.18,0.41,0.67,0.75
2754,Lincolnshire (925),The Peele Community College,0.43,0.03,0.42,0.5,0.63
2755,Lincolnshire (925),The Priory Academy LSST,0.93,0.68,0.95,0.88,0.86
2756,Lincolnshire (925),The Priory City of Lincoln Academy,0.46,0.13,0.36,0.75,0.5
2757,Lincolnshire (925),The Priory Ruskin Academy,0.48,0.07,0.33,0.7,0.63
2758,Lincolnshire (925),The Priory Witham Academy,0.47,0.04,0.34,0.92,0.59
