Address,Latitude,Longitude,Easting,Northing
UB10 0EX,51.537364,-0.446952,507810,183194
UB4 9LE,51.53096,-0.39805,511217,182555
HA4 8EE,51.578548,-0.408674,510365,187831
UB8 3RF,51.532505,-0.45966,506940,182635
UB4 8JP,51.528381,-0.43953,508346,182206
UB10 8QY,51.559964,-0.444437,507931,185711
UB4 0LT,51.508644,-0.398242,511258,180073
UB9 6ET,51.605707,-0.475308,505685,190753
UB3 1PB,51.497111,-0.436507,508630,178733
HA5 2LX,51.594921,-0.41392,509962,189644
HA6 1BX,51.604222,-0.416167,509784,190675
UB4 8JP,51.528381,-0.43953,508346,182206
HA6 1QG,51.603328,-0.405887,510498,190591
UB3 2SE,51.520047,-0.429553,509058,181294
HA4 0LS,51.557591,-0.389239,511763,185530
UB3 2SE,51.520047,-0.429553,509058,181294
HA4 0BY,51.56472,-0.408161,510434,186294
UB8 3GA,51.518879,-0.460812,506892,181118
UB10 0EJ,51.537312,-0.445065,507941,183191
UB8 2PR,51.537435,-0.472904,506010,183164
UB10 8AB,51.558488,-0.462086,506711,185521
TW8 0PG,51.485349,-0.306391,517692,177626
W4 3UN,51.482008,-0.259334,520968,177331
TW5 9PD,51.487616,-0.406527,510734,177722
TW13 7EF,51.443912,-0.401084,511218,172870
TW7 5BB,51.479114,-0.32494,516420,176903
TW7 6XF,51.469075,-0.330303,516073,175778
TW8 9LB,51.492442,-0.316183,516994,178399
TW4 5JD,51.457832,-0.376214,512912,174456
TW5 0QR,51.483923,-0.369411,513320,177368
TW7 5LJ,51.480581,-0.341448,515270,177040
TW3 1NE,51.470907,-0.358803,514089,175937
TW3 4EP,51.477212,-0.367937,513439,176624
TW13 5AB,51.447163,-0.406122,510860,173224
TW14 9PE,51.45292,-0.420876,509821,173842
TW3 3EJ,51.468409,-0.374427,513010,175635
KT9 2JS,51.356913,-0.309092,517834,163339
KT3 6NU,51.39538,-0.247042,522052,167718
KT3 3TU,51.410242,-0.263197,520889,169344
KT6 4TU,51.396812,-0.299054,518430,167792
KT3 5AR,51.397976,-0.26139,521047,167983
KT3 5PE,51.384957,-0.265735,520779,166528
KT6 5AS,51.375811,-0.301901,518286,165452
KT2 5PL,51.42558,-0.302891,518089,170985
KT2 6RL,51.411807,-0.295665,518627,169465
KT6 7LQ,51.375522,-0.296294,518677,165429
CR4 1BP,51.401824,-0.134454,529866,168628
SM4 6DU,51.391574,-0.180249,526709,167408
SW20 0JL,51.403283,-0.239163,522579,168610
SW19 7HB,51.428715,-0.204869,524895,171496
SW20 9AD,51.409404,-0.208688,524682,169342
CR4 1SF,51.406286,-0.154403,528466,169089
SW20 8HA,51.41406,-0.222757,523691,169836
SW19 4NS,51.419239,-0.221521,523763,170414
E6 3SQ,51.520951,0.046096,542054,182210
E20 1BD,51.548685,-0.007253,538269,185192
E13 8SJ,51.520558,0.033004,541147,182141
E3 3DU,51.526846,-0.006419,538393,182765
E16 4NP,51.523792,0.010241,539558,182457
E7 9BB,51.549351,0.022171,540307,185322
E6 5JG,51.514076,0.055084,542699,181463
E6 2PS,51.532222,0.065403,543358,183501
E6 2PS,51.532222,0.065403,543358,183501
E13 9AE,51.53144,0.02465,540534,183335
E12 6ET,51.547197,0.05809,542804,185152
E16 1TU,51.504113,0.023986,540572,180295
E6 1DG,51.539558,0.049612,542240,184286
E16 4DD,51.518627,0.015679,539951,181893
E16 3HS,51.510894,0.034865,541306,181070
E7 8HU,51.5421,0.029652,540848,184530
E7 9QD,51.538638,0.02546,540568,184137
E15 4LP,51.543013,0.007425,539304,184589
E15 4RZ,51.538178,0.003521,539048,184044
E7 9PR,51.540738,0.023073,540396,184366
IG4 5LP,51.585935,0.051598,542233,189447
IG5 0QW,51.593517,0.061786,542915,190310
RM6 4RS,51.571651,0.117568,546849,187989
IG6 3TN,51.609984,0.117272,546705,192251
IG6 2JB,51.5919,0.076988,543973,190160
IG1 1FY,51.560678,0.091594,545084,186717
IG6 3HB,51.594211,0.087647,544704,190438
IG1 2UT,51.549825,0.087504,544835,185502
RM8 1XE,51.564477,0.122443,547210,187201
IG2 7PQ,51.578466,0.091082,544992,188694
IG3 8EU,51.565299,0.092181,545110,187232
IG2 7BT,51.568358,0.085568,544642,187559
IG8 0TP,51.616506,0.020706,539999,192787
IG1 4JU,51.56257,0.070125,543590,186885
IG2 6HX,51.574266,0.066774,543321,188179
E11 2JZ,51.575698,0.036272,541203,188279
IG8 7DQ,51.600967,0.0332,540912,191083
IG8 9LA,51.60722,0.018402,539868,191750
TW10 6HW,51.458747,-0.28826,519020,174697
TW10 7HN,51.438907,-0.312224,517406,172452
TW12 3HB,51.429865,-0.373566,513165,171350
TW1 3BB,51.450974,-0.319062,516900,173783
SW14 8RG,51.462368,-0.259304,521022,175147
TW1 4LT,51.447652,-0.335805,515745,173387
TW11 9PJ,51.423236,-0.312456,517430,170709
TW2 6JW,51.443743,-0.363489,513831,172909
TW2 5LH,51.439441,-0.350996,514710,172450
SM5 1RW,51.377669,-0.174895,527120,165871
SM5 2QX,51.369632,-0.169295,527532,164987
SM3 8PW,51.366318,-0.217998,524151,164535
SM3 9PS,51.381061,-0.201216,525279,166203
SM1 3DY,51.37643,-0.183163,526548,165719
CR8 3YP,51.345494,-0.133857,530067,162365
SM3 8AB,51.355419,-0.223893,523770,163313
SM2 6TQ,51.352243,-0.196155,525710,163007
SM5 3PS,51.36443,-0.170192,527484,164407
SM5 4NS,51.347649,-0.166108,527815,162548
SM1 4AS,51.365094,-0.18976,526120,164447
SM6 7PH,51.369019,-0.149178,528934,164954
SM6 0PH,51.348216,-0.1496,528963,162640
SM6 9JW,51.358854,-0.128071,530432,163861
E11 3NN,51.557451,0.016529,539891,186212
E4 7LT,51.629601,-0.007813,537985,194189
E11 4AB,51.565646,0.00431,539019,187100
E17 5QJ,51.592959,-0.04219,535715,190050
E17 4EY,51.594675,-0.003638,538380,190313
E10 5DN,51.568119,-0.013662,537766,187341
E4 6ES,51.625237,0.011342,539324,193740
E4 9PJ,51.608466,0.002931,538793,191859
E17 3EA,51.589265,-0.007528,538127,189704
E17 8DN,51.57557,-0.028375,536724,188142
E10 7LX,51.565885,-0.025649,536942,187070
E11 1JD,51.57443,0.007568,539218,188083
